payment_date,acc_id,sms_volume,product_name,amount,uid,credit_type
2021-04-15,ACC010001,1000,"SMS Pack 1,000",190.86,PAY00000001,SMS
2024-07-19,ACC010002,5000,"SMS Pack 5,000",818.06,PAY00000002,SMS
2024-11-25,ACC010002,5000,"SMS Pack 5,000",746.68,PAY00000003,SMS
2025-05-04,ACC010002,100000,"Email Pack 100,000",1995.37,PAY00000004,Email
2021-01-07,ACC010003,5000,"SMS Premium 5,000",1513.53,PAY00000005,SMS
2021-02-14,ACC010003,3000,"SMS Pack 3,000",432.11,PAY00000006,SMS
2022-05-25,ACC010003,3000,"SMS Pack 3,000",434.23,PAY00000007,SMS
2023-07-12,ACC010003,3000,"SMS Pack 3,000",487.59,PAY00000008,SMS
2024-04-18,ACC010003,3000,"SMS Pack 3,000",461.09,PAY00000009,SMS
2023-09-19,ACC010004,10000,"SMS Premium 10,000",2701.61,PAY00000010,SMS
2024-03-04,ACC010004,10000,"SMS Pack 10,000",1527.66,PAY00000011,SMS
2024-03-14,ACC010004,10000,"SMS Pack 10,000",1384.4,PAY00000012,SMS
2024-04-25,ACC010004,10000,"SMS Pack 10,000",1345.43,PAY00000013,SMS
2024-06-20,ACC010004,10000,"SMS Pack 10,000",1344.8,PAY00000014,SMS
2024-08-15,ACC010004,10000,"SMS Pack 10,000",1385.52,PAY00000015,SMS
2024-11-08,ACC010004,10000,"SMS Pack 10,000",1418.34,PAY00000016,SMS
2025-02-13,ACC010004,10000,"SMS Premium 10,000",2607.07,PAY00000017,SMS
2025-05-09,ACC010004,10000,"SMS Pack 10,000",1392.3,PAY00000018,SMS
2025-06-24,ACC010004,10000,"SMS Premium 10,000",3137.18,PAY00000019,SMS
2025-06-27,ACC010004,10000,"SMS Pack 10,000",1523.01,PAY00000020,SMS
2025-09-17,ACC010004,10000,"SMS Premium 10,000",2949.16,PAY00000021,SMS
2025-09-25,ACC010004,30000,"SMS Pack 30,000",3902.99,PAY00000022,SMS
2025-11-11,ACC010004,10000,"SMS Premium 10,000",2812.83,PAY00000023,SMS
2025-12-03,ACC010004,10000,"SMS Pack 10,000",1344.99,PAY00000024,SMS
2025-01-07,ACC010007,100000,"SMS Pack 100,000",10791.63,PAY00000025,SMS
2021-12-07,ACC010009,5000,"SMS Pack 5,000",816.52,PAY00000026,SMS
2022-03-23,ACC010009,10000,"SMS Premium 10,000",2683.83,PAY00000027,SMS
2022-04-17,ACC010009,5000,"SMS Pack 5,000",713.39,PAY00000028,SMS
2023-02-17,ACC010009,10000,"SMS Premium 10,000",3100.94,PAY00000029,SMS
2023-03-06,ACC010009,5000,"SMS Pack 5,000",754.68,PAY00000030,SMS
2025-06-07,ACC010009,5000,"SMS Pack 5,000",808.19,PAY00000031,SMS
2022-12-19,ACC010011,1000,"SMS Pack 1,000",180.24,PAY00000032,SMS
2024-11-27,ACC010011,10000,"Email Pack 10,000",280.65,PAY00000033,Email
2021-12-10,ACC010014,10000,"SMS Premium 10,000",2897.33,PAY00000034,SMS
2021-12-24,ACC010014,5000,"SMS Pack 5,000",821.42,PAY00000035,SMS
2021-12-25,ACC010014,50000,"Email Pack 50,000",1111.28,PAY00000036,Email
2022-07-18,ACC010014,3000,"SMS Pack 3,000",444.54,PAY00000037,SMS
2023-06-03,ACC010014,5000,"SMS Pack 5,000",786.49,PAY00000038,SMS
2024-05-02,ACC010014,50000,"Email Pack 50,000",1028.77,PAY00000039,Email
2024-06-24,ACC010014,3000,"SMS Pack 3,000",431.46,PAY00000040,SMS
2024-08-21,ACC010014,50000,"Email Pack 50,000",1221.15,PAY00000041,Email
2024-12-08,ACC010014,5000,"SMS Pack 5,000",812.38,PAY00000042,SMS
2025-11-08,ACC010014,3000,"SMS Pack 3,000",489.42,PAY00000043,SMS
2024-10-20,ACC010016,3000,"SMS Pack 3,000",437.21,PAY00000044,SMS
