payment_date,acc_id,sms_volume,product_name,amount,uid,credit_type
2020-01-01,ACC_07853,50000,SMS Enterprise,12000,PAY_00032986,SMS
2020-01-01,ACC_07853,10000,SMS L,2800,PAY_00032985,SMS
2020-01-01,ACC_07853,5000,SMS M,1500,PAY_00032981,SMS
2020-01-01,ACC_07853,0,Email Pro,990,PAY_00032982,Email
2020-01-01,ACC_07853,1000,SMS S,350,PAY_00032983,SMS
2020-01-01,ACC_07853,0,Email Basic,500,PAY_00032984,Email
2020-01-19,ACC_06760,1000,SMS S,350,PAY_00028453,SMS
2020-01-19,ACC_09228,50000,SMS Enterprise,12000,PAY_00038868,SMS
2020-01-22,ACC_01467,0,Email Pro,990,PAY_00006163,Email
2020-01-23,ACC_09884,0,Email Pro,990,PAY_00041600,Email
2020-01-26,ACC_01467,1000,SMS S,350,PAY_00006166,SMS
2020-01-26,ACC_07845,1000,SMS S,350,PAY_00032952,SMS
2020-01-30,ACC_06434,10000,SMS L,2800,PAY_00027092,SMS
2020-01-31,ACC_07279,5000,SMS M,1500,PAY_00030606,SMS
2020-02-01,ACC_08851,5000,SMS M,1500,PAY_00037257,SMS
2020-02-01,ACC_08930,50000,SMS Enterprise,12000,PAY_00037598,SMS
2020-02-01,ACC_06555,0,Email Pro,990,PAY_00027565,Email
2020-02-03,ACC_08851,0,Email Pro,990,PAY_00037256,Email
2020-02-06,ACC_09228,0,Email Pro,990,PAY_00038870,Email
2020-02-06,ACC_09917,50000,SMS Enterprise,12000,PAY_00041745,SMS
2020-02-06,ACC_02476,1000,SMS S,350,PAY_00010582,SMS
2020-02-07,ACC_07279,0,Email Basic,500,PAY_00030605,Email
2020-02-07,ACC_09228,50000,SMS Enterprise,12000,PAY_00038867,SMS
2020-02-08,ACC_06244,10000,SMS L,2800,PAY_00026271,SMS
2020-02-09,ACC_09884,1000,SMS S,350,PAY_00041601,SMS
2020-02-10,ACC_09228,1000,SMS S,350,PAY_00038871,SMS
2020-02-11,ACC_05565,1000,SMS S,350,PAY_00023431,SMS
2020-02-12,ACC_07091,50000,SMS Enterprise,12000,PAY_00029828,SMS
2020-02-14,ACC_01467,1000,SMS S,350,PAY_00006161,SMS
2020-02-16,ACC_01467,0,Email Basic,500,PAY_00006162,Email
2020-02-17,ACC_01740,5000,SMS M,1500,PAY_00007352,SMS
2020-02-17,ACC_04382,0,Email Basic,500,PAY_00018484,Email
2020-02-17,ACC_09884,0,Email Basic,500,PAY_00041599,Email
2020-02-18,ACC_00391,0,Email Basic,500,PAY_00001649,Email
2020-02-19,ACC_08340,5000,SMS M,1500,PAY_00035091,SMS
2020-02-19,ACC_01467,5000,SMS M,1500,PAY_00006164,SMS
2020-02-20,ACC_00826,1000,SMS S,350,PAY_00003425,SMS
2020-02-20,ACC_05401,0,Email Pro,990,PAY_00022733,Email
2020-02-20,ACC_06979,10000,SMS L,2800,PAY_00029364,SMS
2020-02-21,ACC_07091,0,Email Basic,500,PAY_00029827,Email
2020-02-21,ACC_00826,5000,SMS M,1500,PAY_00003426,SMS
2020-02-22,ACC_00391,0,Email Basic,500,PAY_00001646,Email
2020-02-24,ACC_06447,10000,SMS L,2800,PAY_00027139,SMS
2020-02-24,ACC_01467,10000,SMS L,2800,PAY_00006160,SMS
2020-02-24,ACC_01467,0,Email Pro,990,PAY_00006167,Email
2020-02-25,ACC_05512,50000,SMS Enterprise,12000,PAY_00023195,SMS
2020-02-26,ACC_06979,5000,SMS M,1500,PAY_00029366,SMS
