acc_id,frequency,recency,T,monetary_value,p_alive,predicted_clv_6m,r_score,f_score,m_score,rfm_total,rfm_segment
35,2.0,8.0,273.0,7500.0,0.02797593558312234,378.82902615492856,3,4,4,11.0,Loyal
36,3.0,420.0,443.0,90000.0,0.8896741311964113,122247.34899465562,3,5,5,13.0,Champions
205,0.0,0.0,177.0,0.0,1.0,2.2969686438036234,3,1,1,5.0,Need Attention
3004,5.0,505.0,539.0,10248.0,0.9221112399791107,17614.026854063926,3,5,4,12.0,Loyal
3073,0.0,0.0,315.0,0.0,1.0,1.47769343225822,3,1,1,5.0,Need Attention
3222,0.0,0.0,489.0,0.0,1.0,1.0226155013111768,3,1,1,5.0,Need Attention
3789,4.0,469.0,500.0,11812.5,0.9089539932994013,18040.239921249107,3,5,5,13.0,Champions
7217,0.0,0.0,467.0,0.0,1.0,1.0639344039316987,3,1,1,5.0,Need Attention
7370,10.0,471.0,472.0,75600.0,0.9714354643113126,276522.38227986236,3,5,5,13.0,Champions
8352,0.0,0.0,309.0,0.0,1.0,1.5008215580620619,3,1,1,5.0,Need Attention
8960,2.0,147.0,294.0,30000.0,0.5396736933525526,27511.789802900592,3,4,5,12.0,Loyal
9064,0.0,0.0,350.0,0.0,1.0,1.3559534760832106,3,1,1,5.0,Need Attention
9082,2.0,294.0,407.0,29700.0,0.7280861154748077,27942.97146824341,3,4,5,12.0,Loyal
9276,1.0,194.0,385.0,90000.0,0.4605505253469545,45016.34656318201,3,3,5,11.0,Loyal
9477,0.0,0.0,190.0,0.0,1.0,2.1820636315962383,3,1,1,5.0,Need Attention
9623,1.0,378.0,534.0,4500.0,0.5895967089412891,2170.2615173795148,3,3,3,9.0,Need Attention
10420,0.0,0.0,324.0,0.0,1.0,1.4443232819653706,3,1,1,5.0,Need Attention
12377,2.0,418.0,476.0,47250.0,0.8142057808020756,43382.274529335926,3,4,5,12.0,Loyal
12720,0.0,0.0,477.0,0.0,1.0,1.0447437617787783,3,1,1,5.0,Need Attention
13640,1.0,372.0,511.0,4500.0,0.6014457614252522,2301.604522139881,3,3,3,9.0,Need Attention
16343,1.0,85.0,128.0,9900.0,0.5992034409963262,15064.193572848004,3,3,4,10.0,Loyal
